GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.026394034,0.010594217,0.010801112,0.00764699,0.005983861,0.015481504,0.006733008,0.00827502,0.012334144,0.023277858,0.0087462105,0.01483529,0.012503207,0.015826527,0.007101655,0.015125001,0.0068633435,0.006171457,0.022069005,0.020944301
0.13370612,0.11344025,0.056929484,0.01625319,0.021617921,0.0079549905,0.009256021,0.012219191,0.07882667,0.002837181,0.008884633,0.0037075519,0.0043597696,0.009854233,0.00530353,0.0051742275,0.017002797,0.026524197,0.0019011497,0.0021408717
0.023887444,0.04113643,0.008918166,0.0042196354,0.002895709,0.005446152,0.0012787144,0.002143836,0.016241217,0.00132641,0.0014540036,0.0012029846,0.0012043436,0.015458866,0.0018123428,0.0034229397,0.004533303,0.012491766,0.0012277683,0.0009857813
0.010759091,0.029985119,0.005432113,0.006234316,0.0035684982,0.019976707,0.0029943862,0.0037999908,0.02473956,0.0043941657,0.009853589,0.0045236903,0.0038430414,0.042565923,0.0030807138,0.010708988,0.00713623,0.017215224,0.0033551971,0.0035837928
0.0033933362,0.003701949,0.0059280554,0.0022147496,0.007387384,0.011396396,0.008979718,0.004151384,0.010826528,0.0022000948,0.0029611667,0.00230695,0.0033947707,0.025295338,0.0063486258,0.0016243219,0.001505665,0.002947533,0.0031453012,0.0021974961
0.0017677506,0.009151646,0.0032274087,0.0013990084,0.004362285,0.0263055,0.005477305,0.0017919183,0.021525657,0.0020450077,0.0079630455,0.0012071133,0.0016446273,0.045458913,0.0031271577,0.004465298,0.0013625344,0.0074997544,0.0015181621,0.0012711366
0.0011766275,0.0066226483,0.002621329,0.0008285165,0.0034795601,0.019969825,0.0046141506,0.0011468411,0.018869646,0.0010402998,0.0069765807,0.0008226355,0.0010742506,0.036423657,0.002621166,0.003901291,0.0008500695,0.0054898025,0.0011650443,0.0007562796
0.0036233426,0.005189534,0.0055817366,0.0024201593,0.006883907,0.013877746,0.00779622,0.003785356,0.013331636,0.0033571124,0.004741502,0.0021278819,0.003728672,0.02450978,0.005555868,0.0026061973,0.0020395438,0.0044615907,0.0030105512,0.0024122675
0.0035063426,0.0034251213,0.005740547,0.0032136918,0.006432621,0.010086473,0.007745628,0.004568096,0.012176121,0.0032620311,0.004779573,0.0028609554,0.0035765965,0.014325142,0.0059503117,0.0032871445,0.00214415,0.0031996488,0.003548765,0.0030672431
0.0029014428,0.0016695778,0.0052617746,0.002490592,0.00567584,0.0058493298,0.0072470545,0.00441163,0.00820767,0.0024334749,0.0023277402,0.0019878666,0.002889482,0.008225823,0.0057859463,0.0015204588,0.001396505,0.0014851808,0.0029518683,0.0023349086
0.0044372957,0.0034213343,0.006915494,0.0050602835,0.007167959,0.006637172,0.00923386,0.006455886,0.011160712,0.0039642453,0.00528789,0.004543479,0.004576671,0.008197355,0.00813181,0.004177487,0.0037772893,0.0031648637,0.0055973134,0.004926336
0.0005463719,0.0022190015,0.00055099727,0.00083562534,0.0023913742,0.0010660727,0.0012170752,0.00060957274,0.007661156,0.0013766368,0.00047990482,0.004132056,0.007589193,0.017349387,0.0009400527,0.00068282685,0.00079058803,0.003251946,0.00049388804,0.0004819552
0.003163882,0.0042048017,0.0027344306,0.0028574944,0.0032533766,0.0027630886,0.0027278343,0.0024034183,0.012405829,0.0027018348,0.0032815337,0.0041903495,0.007962397,0.022381822,0.0029199044,0.0021269242,0.0038753748,0.005448691,0.0028706153,0.0026163778
0.0057062744,0.0019123355,0.0052366336,0.002543203,0.0077504674,0.004308768,0.005210944,0.0031026641,0.00257622,0.0028201859,0.003467079,0.006676972,0.018386304,0.0037605723,0.006687705,0.0035756112,0.0036713243,0.0019712646,0.004393474,0.0034439922
0.00320882,0.003980891,0.0029957097,0.00289433,0.0038712262,0.0032327215,0.0031320492,0.0029375355,0.0089731775,0.0033507505,0.0028030237,0.0037125668,0.0110342465,0.012366056,0.0035203139,0.002838222,0.0029183745,0.0048556207,0.0028095047,0.0029266595
0.0014867147,0.002286919,0.001098303,0.0012057264,0.0014966567,0.0016289472,0.0014011224,0.0013271491,0.0077516395,0.0014224966,0.0012536605,0.00092709064,0.0069684265,0.007250301,0.0013755083,0.0011775573,0.0017292659,0.0030805469,0.0011248986,0.001092422
0.0017890851,0.0007822871,0.0015229622,0.0008455276,0.0015018742,0.0009293874,0.0011023601,0.00078748463,0.0018323103,0.0009527246,0.0009727796,0.000953269,0.008290589,0.0009514292,0.0022013464,0.00078621705,0.0009464423,0.0011222481,0.0011095245,0.0009006381
0.00088724296,0.001213634,0.0007061839,0.0007886767,0.0007455071,0.0018427531,0.0007269263,0.0009143074,0.0014510076,0.0008437157,0.00068829855,0.00075943075,0.0042841313,0.0009906093,0.00095695653,0.0010581494,0.0008703272,0.0015389085,0.0006773313,0.0006928722
0.0013234933,0.0006098787,0.0010436416,0.0007131974,0.0009999474,0.0008139928,0.00075888634,0.0006665905,0.0007116119,0.0005794247,0.00076275266,0.0007320404,0.0044377763,0.0017583807,0.0013385455,0.00067062775,0.0007471244,0.0007318457,0.00076831976,0.00070336263
0.0016361078,0.0024499735,0.001622196,0.0019025485,0.0016583483,0.0033518553,0.0017370661,0.0020484368,0.0017646512,0.0029958845,0.0016649206,0.0019580324,0.0025777856,0.0020400763,0.0016514222,0.0018246651,0.0016227086,0.0024478913,0.0016592105,0.0018673618
0.004385269,0.0042703273,0.0040469687,0.0038802545,0.0043458543,0.0047720987,0.004220609,0.004110384,0.0043365676,0.005549316,0.0040886123,0.0040074824,0.004257659,0.0041070106,0.0040266234,0.0038887223,0.0044231415,0.0043902397,0.0040359856,0.0040646354
0.00605642,0.0049125,0.0054539996,0.0052031674,0.005264461,0.004595514,0.00512079,0.004918782,0.005098192,0.0044351695,0.0050647934,0.0048018736,0.005371511,0.0044330796,0.005227077,0.004665224,0.005231746,0.0045235036,0.004961912,0.004644342
0.0017079234,0.001269118,0.0014129798,0.0013415734,0.0014019608,0.0012716254,0.0014163374,0.0012341539,0.0013597608,0.0013633132,0.0012711247,0.0012261033,0.0014115532,0.0012251377,0.0013100505,0.0012083213,0.0013769309,0.0012381912,0.0012958288,0.001155738
0.005037133,0.00564094,0.0056164465,0.0058810473,0.0053056004,0.0058160583,0.0058038672,0.0061686435,0.0057252604,0.006634442,0.00604198,0.0063827676,0.005430722,0.0064890464,0.0059467913,0.0065325736,0.005600222,0.0059981067,0.0060919286,0.0061101993
0.010741035,0.010327621,0.010447017,0.010454944,0.010199154,0.010210403,0.010558681,0.009959849,0.010162802,0.009657355,0.010231292,0.009966107,0.010473549,0.00972501,0.010306593,0.009772304,0.010280649,0.0097705005,0.01028854,0.009890572
0.0009442409,0.00093346037,0.00053794385,0.00051329134,0.0008849621,0.00093034504,0.0006167491,0.0004725178,0.0009920994,0.000600787,0.00044107038,0.00038638114,0.0006448547,0.0005360683,0.0004380266,0.00039331117,0.0013450742,0.0014577627,0.00043292443,0.00052464404
0.0035179695,0.0038192272,0.0038193027,0.0039893864,0.0037145019,0.004039689,0.004578535,0.003960983,0.0037911376,0.0038591425,0.0039123376,0.0039986013,0.0039922437,0.00379165,0.0038855514,0.003952066,0.0031110407,0.0035140156,0.003751413,0.0037925164
0.0032253424,0.003591331,0.0030575395,0.003296415,0.0031735778,0.0034707943,0.003200821,0.003028667,0.0032462676,0.003209122,0.0029940803,0.0030504228,0.0032479048,0.0031024495,0.0030062676,0.003031075,0.0031300625,0.0037367225,0.002981448,0.0030930797
0.010968438,0.010876179,0.011797551,0.011176411,0.0117196,0.011312711,0.012721852,0.012128611,0.012708759,0.012106073,0.013036104,0.012076858,0.012710023,0.012445811,0.012829339,0.012451645,0.012302176,0.011238885,0.012858633,0.012327083
0.0012204408,0.0013749242,0.0005601724,0.0008272171,0.0007812142,0.0012712518,0.0005021493,0.0005050937,0.0010850629,0.0006850322,0.000520885,0.00044121742,0.0010134459,0.0005154292,0.0004647851,0.00042113065,0.00087396306,0.0011421283,0.00032391152,0.0004077951
