GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.06957069,0.06537109,0.07860478,0.073698185,0.068535395,0.06559579,0.07867657,0.07128831,0.07057991,0.06750114,0.07694437,0.0711614,0.07152668,0.06641316,0.07787533,0.0690874,0.072244525,0.06303436,0.08062644,0.06664587
0.01852187,0.018065969,0.022504427,0.021904865,0.018827965,0.017558996,0.025015822,0.021077562,0.02043378,0.02075555,0.023729851,0.022616839,0.021229824,0.021101339,0.023653109,0.022589505,0.02155537,0.020694457,0.024502814,0.020889211
0.27452606,0.2713779,0.3042781,0.30260321,0.27855358,0.28091857,0.32727098,0.29767102,0.2847056,0.27922925,0.30371523,0.29908052,0.2966915,0.27839985,0.3047451,0.2945654,0.25344494,0.24524139,0.3043305,0.2851168
0.004854293,0.0046984055,0.0020425634,0.0022739444,0.003995642,0.003963112,0.0060014226,0.0022625427,0.0039719953,0.0030781531,0.0022352382,0.0021132352,0.0027672232,0.002767062,0.0020449779,0.0020444398,0.013365432,0.0118994415,0.0018025709,0.0024117953
0.018012129,0.019311236,0.023905862,0.025599001,0.019947147,0.021742536,0.033646405,0.025364073,0.021082234,0.020763297,0.025015509,0.02593319,0.023565855,0.020416154,0.024667861,0.025193654,0.0145032015,0.016915541,0.023023231,0.022879945
0.012188194,0.013535859,0.011634677,0.012649892,0.012133726,0.013090628,0.013974979,0.012174985,0.011818662,0.012221861,0.011848988,0.012470812,0.012149232,0.011888442,0.011822104,0.012459212,0.013320789,0.016125146,0.011222736,0.012064695
0.070322394,0.06467848,0.07370591,0.07001017,0.073381096,0.0669812,0.07925717,0.074057035,0.07599376,0.069627546,0.07816829,0.07414054,0.07652109,0.07033966,0.07729764,0.07588601,0.073053546,0.06398163,0.07623036,0.073894426
0.006629041,0.008310756,0.005525947,0.0071537895,0.0061010127,0.008430128,0.00747282,0.006512347,0.0067332094,0.007220288,0.0058486694,0.006926433,0.0073837624,0.006831747,0.005922673,0.007123324,0.005856753,0.009156213,0.005520945,0.0067981896
0.006171444,0.006799951,0.004028191,0.0045047025,0.0046623913,0.00605993,0.0025539084,0.003094635,0.0053372066,0.0052054953,0.0031700186,0.0027050313,0.0042533474,0.0038123105,0.0029036517,0.0025722792,0.0053039785,0.008346913,0.0026736392,0.002255053
0.0012463443,0.005242309,0.001726215,0.0036967762,0.00094873214,0.0052267867,0.0014996354,0.0025851831,0.0013396166,0.0043767607,0.0017949617,0.0024343522,0.0012512173,0.003486109,0.0017357513,0.0023344262,0.0017364869,0.008548896,0.0018657292,0.0026144637
0.02134202,0.012105132,0.020509105,0.014499964,0.022310704,0.012337365,0.021059621,0.017056096,0.021579279,0.012073114,0.021942338,0.017307313,0.020997234,0.014451426,0.021303145,0.017347233,0.021211576,0.012371239,0.02005782,0.017279346
0.01157294,0.010149055,0.011494876,0.010856098,0.011457305,0.011379522,0.011458125,0.010984192,0.011818328,0.0111403605,0.011442183,0.01100029,0.011273491,0.011015186,0.011554484,0.011039088,0.011566963,0.011913164,0.011249896,0.011025819
0.042768143,0.03533196,0.04090802,0.03703674,0.04411335,0.034842726,0.0413267,0.036628198,0.043371983,0.0345479,0.041383084,0.03778834,0.043600406,0.034655042,0.040985014,0.036497515,0.042300384,0.03221539,0.04121007,0.03581936
0.018135944,0.014133575,0.016446516,0.014243254,0.018672876,0.014465761,0.016674962,0.013971034,0.017979117,0.01451735,0.016324786,0.015161479,0.018683752,0.013684368,0.016148958,0.01440795,0.018100256,0.01932106,0.016480412,0.015631307
0.018074287,0.028009731,0.015269735,0.018034233,0.018183203,0.027084598,0.015106905,0.01858706,0.0202428,0.024033552,0.015649768,0.016629087,0.016516652,0.024708765,0.01574393,0.017998267,0.019823411,0.034117766,0.015332583,0.018796535
0.03484494,0.021122875,0.034305997,0.028809698,0.036764648,0.021075161,0.03508748,0.028411161,0.034440696,0.022332959,0.035202645,0.031758998,0.03515621,0.022510765,0.034820817,0.029569753,0.03455109,0.021592889,0.03376793,0.02798334
0.02709269,0.020850219,0.02657501,0.023877744,0.027415898,0.020725122,0.026760304,0.02347318,0.026428958,0.021269761,0.02600062,0.024870155,0.02771315,0.02006235,0.025867173,0.024034237,0.026073305,0.02090392,0.026605155,0.023940314
0.007628289,0.01424286,0.0060506635,0.008079124,0.008028608,0.013216555,0.006045818,0.0082590915,0.011354779,0.011390627,0.0068214554,0.007415428,0.0076327096,0.011755446,0.006815625,0.008273414,0.0077056866,0.016274078,0.0060596718,0.008350596
0.10008507,0.115836136,0.10192303,0.105039254,0.09917421,0.11585652,0.10137226,0.10579435,0.10312914,0.112261824,0.10208163,0.103324175,0.098793365,0.1143239,0.10232771,0.10388396,0.101812676,0.12190419,0.102738455,0.1072842
0.015754996,0.026504822,0.019735774,0.024878852,0.015127046,0.028774183,0.019407524,0.02515819,0.014798647,0.027899142,0.018238826,0.02270932,0.015864914,0.027848572,0.018723559,0.023535332,0.011954542,0.024463378,0.01916611,0.025196753
0.016716905,0.012424226,0.013533858,0.012646187,0.018174946,0.012876144,0.013769451,0.012498057,0.017791403,0.013335939,0.014145637,0.012149205,0.01608545,0.011539311,0.0140307415,0.012732259,0.020908454,0.013352325,0.013534823,0.011916852
0.0037210125,0.0058879955,0.0028777122,0.0035889535,0.0040435516,0.006605426,0.002774478,0.0033902684,0.0055498253,0.0059202705,0.0035203164,0.003288679,0.004117333,0.0054310486,0.0031946062,0.003597612,0.006268188,0.00855103,0.0034803196,0.0045681046
0.0065503037,0.007772276,0.004988211,0.0056762057,0.007829313,0.008639714,0.0052761785,0.0056618997,0.008131468,0.008409674,0.005846592,0.005811581,0.0065204008,0.008069887,0.005698765,0.0058723018,0.0072252,0.010948506,0.00479534,0.0064886594
0.008007562,0.013773172,0.0088452,0.010649913,0.0074470025,0.014614251,0.008588347,0.010714593,0.007826294,0.013479212,0.008654068,0.009856639,0.007957118,0.013357676,0.008718806,0.010324412,0.008476797,0.016343227,0.00916509,0.01149326
0.09060121,0.091528915,0.092531,0.09233067,0.0909903,0.08993159,0.09263131,0.092354976,0.09190534,0.091475055,0.09334648,0.0924352,0.09148744,0.09141271,0.093318075,0.092872605,0.09119325,0.0919066,0.09288814,0.09214951
0.0057764803,0.010776015,0.0060948012,0.009181836,0.0058593987,0.012828555,0.0060265143,0.009329201,0.0050907154,0.012209152,0.005640229,0.008715277,0.005033658,0.0124815395,0.0058802296,0.008885537,0.0059684427,0.012314662,0.0057390686,0.009509976
0.0027468116,0.0048145847,0.0022151028,0.0039104987,0.0025853203,0.0063316156,0.0021183838,0.003911174,0.002675151,0.007050015,0.0022076054,0.0037195878,0.0027086267,0.005781815,0.0022286659,0.0037821638,0.0047214204,0.0058579934,0.0023393452,0.0038480826
