model,layers,estimation,hidden,lr,epochs,seed,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic,selected
GNNHAR2L,2,MSE,32,0.0003,500,20260603,1.7069638967514038,0.001178485108539462,1.5464155673980713,0.0011158938286826015,False
GNNHAR2L,2,MSE,32,0.001,250,20260603,1.3667919635772705,0.0009985315846279263,1.270289659500122,0.0009170560515485704,False
GNNHAR2L,2,MSE,32,0.001,300,20260603,1.2077522277832031,0.0009113757405430079,1.1655244827270508,0.0008577666594646871,False
GNNHAR2L,2,MSE,32,0.001,500,20260603,1.0424773693084717,0.000844092050101608,1.1548398733139038,0.0008495267829857767,False
GNNHAR2L,2,MSE,32,0.003,250,20260603,1.043627142906189,0.0008483268902637064,1.1388633251190186,0.0008762890938669443,False
GNNHAR2L,2,MSE,32,0.003,300,20260603,1.0312929153442383,0.0008432702161371708,1.1340534687042236,0.0008694856660440564,False
GNNHAR2L,2,MSE,32,0.003,500,20260603,1.0253181457519531,0.0008394010947085917,1.1222134828567505,0.0008557777036912739,False
GNNHAR2L,2,MSE,64,0.0003,250,20260603,1.7920796871185303,0.0012171773705631495,1.7925784587860107,0.001207987661473453,False
GNNHAR2L,2,MSE,64,0.0003,300,20260603,1.4551360607147217,0.0010364815825596452,1.4958256483078003,0.001033397507853806,False
GNNHAR2L,2,MSE,64,0.0003,500,20260603,1.0715315341949463,0.0008549068006686866,1.2546954154968262,0.0009396784007549286,False
GNNHAR2L,2,MSE,64,0.001,250,20260603,1.0799996852874756,0.0008624530746601522,1.2958128452301025,0.0009442693553864956,False
GNNHAR2L,2,MSE,64,0.001,300,20260603,1.0799996852874756,0.0008624530746601522,1.2958128452301025,0.0009442693553864956,False
GNNHAR2L,2,MSE,64,0.001,500,20260603,1.0799996852874756,0.0008624530746601522,1.2958128452301025,0.0009442693553864956,False
GNNHAR2L,2,MSE,64,0.003,250,20260603,1.0809204578399658,0.0008598994463682175,1.2429569959640503,0.0008947858004830778,False
GNNHAR2L,2,MSE,64,0.003,300,20260603,1.0809204578399658,0.0008598994463682175,1.2429569959640503,0.0008947858004830778,False
GNNHAR2L,2,MSE,64,0.003,500,20260603,1.0809204578399658,0.0008598994463682175,1.2429569959640503,0.0008947858004830778,False
GNNHAR3L,3,MSE,8,0.0003,250,20260604,7.902138710021973,0.00495478929951787,12.06110954284668,0.008661672472953796,False
GNNHAR3L,3,MSE,8,0.0003,300,20260604,6.686822891235352,0.0038776532746851444,10.565217018127441,0.006836325861513615,False
GNNHAR3L,3,MSE,8,0.0003,500,20260604,2.9646449089050293,0.0017470500897616148,3.6455764770507812,0.0022092752624303102,False
GNNHAR3L,3,MSE,8,0.001,250,20260604,1.6161409616470337,0.0011772923171520233,1.6498281955718994,0.001378564746119082,False
GNNHAR3L,3,MSE,8,0.001,300,20260604,1.4429948329925537,0.0010865816147997975,1.539565086364746,0.0013055190211161971,False
GNNHAR3L,3,MSE,8,0.001,500,20260604,1.1113746166229248,0.0008994327508844435,1.1404774188995361,0.0009406081517226994,False
GNNHAR3L,3,MSE,8,0.003,250,20260604,1.1174136400222778,0.0009088059887290001,1.1846226453781128,0.0009503933833912015,False
GNNHAR3L,3,MSE,8,0.003,300,20260604,1.0614043474197388,0.0008770793210715055,1.144595980644226,0.0008771613356657326,False
GNNHAR3L,3,MSE,8,0.003,500,20260604,1.0373536348342896,0.0008568475022912025,1.2112220525741577,0.0008634719997644424,False
GNNHAR3L,3,MSE,16,0.0003,250,20260604,4.500829219818115,0.002818094799295068,5.542023658752441,0.0036168601363897324,False
GNNHAR3L,3,MSE,16,0.0003,300,20260604,3.3738386631011963,0.0021826846059411764,3.046670913696289,0.0021403462160378695,False
GNNHAR3L,3,MSE,16,0.0003,500,20260604,2.0328917503356934,0.0014377140905708075,2.1722793579101562,0.0016793956747278571,False
GNNHAR3L,3,MSE,16,0.001,250,20260604,1.6966664791107178,0.0012330336030572653,1.8835710287094116,0.0014803807716816664,False
GNNHAR3L,3,MSE,16,0.001,300,20260604,1.42288339138031,0.001084548537619412,1.658475399017334,0.0013238375540822744,False
GNNHAR3L,3,MSE,16,0.001,500,20260604,1.0496467351913452,0.0008728217799216509,1.1538032293319702,0.000915230717509985,False
GNNHAR3L,3,MSE,16,0.003,250,20260604,1.053696870803833,0.000875404744874686,1.1855493783950806,0.0009424776071682572,False
GNNHAR3L,3,MSE,16,0.003,300,20260604,1.0275119543075562,0.0008562466828152537,1.1643534898757935,0.0009078736766241491,False
GNNHAR3L,3,MSE,16,0.003,500,20260604,1.0275119543075562,0.0008562466828152537,1.1643534898757935,0.0009078736766241491,False
GNNHAR3L,3,MSE,32,0.0003,250,20260604,1.6844347715377808,0.0012407099129632115,1.997460961341858,0.0020298068411648273,False
GNNHAR3L,3,MSE,32,0.0003,300,20260604,1.449947476387024,0.001113802078180015,1.7925777435302734,0.0017457943176850677,False
GNNHAR3L,3,MSE,32,0.0003,500,20260604,1.0722160339355469,0.0008892959449440241,1.354897141456604,0.001072246814146638,False
GNNHAR3L,3,MSE,32,0.001,250,20260604,1.0489585399627686,0.0008581047295592725,1.319445013999939,0.0009629474952816963,False
GNNHAR3L,3,MSE,32,0.001,300,20260604,1.0437694787979126,0.0008533287909813225,1.3162192106246948,0.0009505487396381795,False
GNNHAR3L,3,MSE,32,0.001,500,20260604,1.0437694787979126,0.0008533287909813225,1.3162192106246948,0.0009505487396381795,False
GNNHAR3L,3,MSE,32,0.003,250,20260604,1.041312336921692,0.0008662824984639883,1.2808871269226074,0.0009813526412472129,False
GNNHAR3L,3,MSE,32,0.003,300,20260604,1.0401862859725952,0.0008477242081426084,1.376272439956665,0.0009561962797306478,False
GNNHAR3L,3,MSE,32,0.003,500,20260604,1.0401862859725952,0.0008477242081426084,1.376272439956665,0.0009561962797306478,False
GNNHAR3L,3,MSE,64,0.0003,250,20260604,1.079710841178894,0.0008861744427122176,1.2120659351348877,0.0009350875043310225,False
GNNHAR3L,3,MSE,64,0.0003,300,20260604,1.06476891040802,0.0008704086067155004,1.1855541467666626,0.0009118804591707885,False
GNNHAR3L,3,MSE,64,0.0003,500,20260604,1.0642277002334595,0.0008690665708854795,1.1813403367996216,0.0009073076071217656,False
GNNHAR3L,3,MSE,64,0.001,250,20260604,1.0173982381820679,0.0008421579841524363,1.1904760599136353,0.0008962041465565562,True
GNNHAR3L,3,MSE,64,0.001,300,20260604,1.0173982381820679,0.0008421579841524363,1.1904760599136353,0.0008962041465565562,False
GNNHAR3L,3,MSE,64,0.001,500,20260604,1.0173982381820679,0.0008421579841524363,1.1904760599136353,0.0008962041465565562,False
GNNHAR3L,3,MSE,64,0.003,250,20260604,1.0262466669082642,0.0008507897146046162,1.2236263751983643,0.0008942156564444304,False
GNNHAR3L,3,MSE,64,0.003,300,20260604,1.0262466669082642,0.0008507897146046162,1.2236263751983643,0.0008942156564444304,False
GNNHAR3L,3,MSE,64,0.003,500,20260604,1.0262466669082642,0.0008507897146046162,1.2236263751983643,0.0008942156564444304,False
