GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.008533303,0.008101157,0.008039133,0.008185041,0.008943891,0.008355605,0.008007014,0.008254226,0.009232628,0.0083062565,0.008448716,0.00831368,0.009213122,0.008295727,0.0081739705,0.008145737,0.009048275,0.008170692,0.0081630945,0.008097494,0.009142367,0.008077776,0.008315369,0.008189515,0.00863661,0.007835695,0.008261629,0.007898112
0.0097730355,0.006714777,0.010033134,0.0071950676,0.010225857,0.0067174514,0.009961816,0.007063655,0.010289403,0.0063905874,0.010482669,0.0073324484,0.010237483,0.00657204,0.010016871,0.0071288426,0.010105622,0.006476132,0.01012189,0.007219565,0.010092612,0.006400017,0.010153337,0.0071924725,0.009389571,0.0064911563,0.010006575,0.007205737
0.0048187734,0.0066530663,0.005047981,0.006291179,0.004750526,0.007213938,0.0049687345,0.006609412,0.004462723,0.006745966,0.004263564,0.0056936145,0.0047281384,0.0060747582,0.0045571844,0.0060080728,0.0048767845,0.007862743,0.0045351028,0.00617615,0.0052141747,0.0065583466,0.004581809,0.0072907964,0.005463763,0.006685825,0.005510012,0.0058800937
0.036820754,0.035600375,0.036356337,0.034257647,0.03713338,0.035667583,0.036404815,0.03449392,0.0373203,0.03550603,0.03747108,0.033863947,0.036812413,0.03518263,0.036304813,0.03414581,0.03657653,0.035416383,0.03678684,0.03424774,0.03643976,0.035263043,0.0362292,0.034390677,0.036041852,0.03609469,0.03621545,0.03440433
0.0016930263,0.0020652255,0.001621755,0.0011847059,0.002106007,0.002409788,0.0015944163,0.0012248119,0.0024060607,0.002979819,0.0012892246,0.0014216503,0.0015620033,0.0021790704,0.0020583153,0.0011440436,0.0015422503,0.0038841844,0.0011813759,0.0013228258,0.0015848875,0.0019375642,0.0022388338,0.0012772004,0.0021113197,0.0020118952,0.0022952834,0.0010875304
0.0049202563,0.0039130133,0.00412908,0.003811852,0.0049680076,0.003911523,0.0041397256,0.004112021,0.00443968,0.004100553,0.003804167,0.0034977556,0.0049264473,0.0035972914,0.0045198123,0.0039695185,0.004355037,0.0048487983,0.0036703667,0.0038921556,0.0050092856,0.003591005,0.0045704087,0.0038974683,0.005738914,0.0037736257,0.004882312,0.0037513613
0.004140985,0.003910049,0.0041104397,0.0032152692,0.004123664,0.004038787,0.0041546384,0.0031168184,0.0038910746,0.0042803762,0.0034525911,0.0032222986,0.00435584,0.0041056555,0.0044992766,0.0031838974,0.0038840016,0.004560665,0.0036986868,0.0032461206,0.0040763495,0.0039381464,0.004449618,0.0030552745,0.004858168,0.004112168,0.0047853114,0.0033771037
0.005525704,0.005286042,0.005098796,0.004970455,0.005386619,0.0052814605,0.0051464518,0.0049552717,0.0052690865,0.0054337224,0.005229886,0.0048850975,0.005900959,0.005739582,0.0053454516,0.0049982984,0.0052488167,0.0058898013,0.005029146,0.0050431094,0.0057699997,0.0051302193,0.0052123307,0.0049646455,0.006391418,0.0050861714,0.005672391,0.005006401
0.034105625,0.027625073,0.033449035,0.02857406,0.033678558,0.02807591,0.033470675,0.028245509,0.03157543,0.02746446,0.034377474,0.027990742,0.034502797,0.026682341,0.03320646,0.028773021,0.031906586,0.027628975,0.033927195,0.028885305,0.03353708,0.02769771,0.03250921,0.027906155,0.035018656,0.028267138,0.034417294,0.029445346
0.012944023,0.010181129,0.013074947,0.011717097,0.0126643935,0.0111172395,0.013019812,0.011728585,0.01295102,0.011354395,0.012595503,0.0109535055,0.0133910775,0.010730163,0.012922482,0.01114223,0.013445628,0.0121301925,0.012241284,0.010670857,0.013467673,0.012009135,0.012934418,0.011388588,0.013353614,0.01047798,0.013634018,0.011105995
