GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.24539658,0.2432032,0.22582226,0.34505844,0.23311001,0.24371587,0.2229052,0.3283906,0.23552336,0.23993284,0.20309177,0.35851285,0.22930099,0.23241447,0.22273,0.3165715,0.23857658,0.2508536,0.2184016,0.3210897,0.24100593,0.23420452,0.21955185,0.3354035,0.2293205,0.24406274,0.17088957,0.3215055
0.2727825,0.25068572,0.2898316,0.3358343,0.27879113,0.27713016,0.2858153,0.313556,0.27308518,0.2713908,0.25016052,0.36237493,0.27626163,0.26634523,0.2898935,0.3093778,0.28612185,0.26475084,0.27182543,0.3047248,0.27875584,0.2665626,0.29303992,0.31945756,0.26397842,0.25046125,0.2603512,0.31585556
1.5062772,1.3660052,1.5396065,1.5228482,1.4941046,1.355535,1.5318059,1.4900155,1.4991627,1.3495181,1.5011474,1.5430634,1.4877838,1.3425612,1.5369345,1.4843023,1.5022309,1.3680485,1.5219475,1.4960405,1.4963547,1.3673179,1.5379106,1.507105,1.4747051,1.406119,1.4626127,1.5215169
0.24232541,0.21735805,0.2976816,0.37251684,0.24829726,0.24770181,0.2869059,0.3316777,0.24682686,0.24011731,0.2260196,0.4264234,0.24595729,0.23592122,0.29737183,0.33215207,0.26265526,0.24982172,0.26657102,0.3298205,0.25175425,0.23522757,0.30737847,0.35299975,0.22346826,0.21506959,0.23895311,0.34421083
0.110352404,0.08386543,0.1287553,0.1190135,0.11569143,0.09025236,0.1257803,0.10650635,0.11599609,0.08997211,0.11611661,0.14337777,0.11675623,0.08792957,0.12955247,0.106908485,0.11832364,0.08877628,0.12164882,0.10526206,0.11529954,0.08639289,0.13410053,0.11525158,0.11282535,0.07730745,0.1310371,0.10798584
0.34913483,0.29503042,0.39333445,0.46641386,0.351692,0.3206426,0.38382092,0.4318612,0.35074478,0.31622502,0.32977492,0.5148258,0.34996414,0.30643946,0.38893408,0.43138787,0.365191,0.32905868,0.36643168,0.432317,0.36048177,0.30793998,0.39537224,0.46037486,0.3321013,0.2776976,0.34239817,0.4335188
0.072301455,0.056445744,0.09393313,0.094129354,0.0769074,0.060050532,0.0914931,0.08343391,0.075146504,0.05594739,0.09282794,0.11227353,0.074683696,0.05826316,0.09262506,0.08454709,0.073410064,0.05644674,0.0898195,0.0826247,0.0717743,0.05550527,0.09615662,0.09097077,0.06627672,0.05654188,0.10055006,0.08272708
0.32762957,0.35278493,0.30072272,0.5071842,0.31508568,0.3745054,0.29600176,0.4826917,0.31521496,0.37063017,0.25828367,0.53814536,0.31184942,0.34906814,0.29263434,0.47563928,0.3243476,0.38749185,0.2842456,0.4787777,0.32933757,0.35827443,0.2891811,0.5166262,0.3154421,0.35060447,0.23989604,0.46835157
8.891048,8.578688,9.00854,7.968802,8.926895,8.419344,9.026135,8.102989,8.958881,8.41328,9.305212,7.7891316,8.944623,8.484989,9.014588,8.079704,8.870321,8.392362,9.121281,8.134951,8.894305,8.513558,9.034853,7.9283442,8.96334,8.587922,9.404225,8.093547
0.02452033,0.03109956,0.104732156,0.022322576,0.024532767,0.041996412,0.09189893,0.016713861,0.021258585,0.03618004,0.027295915,0.04371384,0.020113653,0.050522987,0.10910504,0.018569585,0.019561835,0.037496664,0.05731485,0.017399404,0.01822401,0.0405681,0.14082558,0.017756682,0.032401104,0.036481667,0.16227026,0.020050904
0.060566127,0.046479,0.045587692,0.052719247,0.041336928,0.029461155,0.040780503,0.05641772,0.05245815,0.032441344,0.03128538,0.053352218,0.041352037,0.02960328,0.047668353,0.05246843,0.03816927,0.034735788,0.032315657,0.05545243,0.04824143,0.030364994,0.058510885,0.05674426,0.06474644,0.056111936,0.06357985,0.049999055
0.309693,0.29506654,0.33466756,0.22448401,0.31830823,0.30196953,0.33339864,0.23016973,0.31700155,0.3017391,0.3157985,0.21793404,0.32286894,0.30896577,0.33660933,0.2301341,0.32006803,0.29797056,0.3211339,0.2290392,0.3169941,0.30256546,0.34766844,0.22449248,0.33104268,0.29266313,0.40106046,0.23113033
0.06529135,0.064986035,0.08117189,0.09881364,0.05749015,0.05589394,0.077539325,0.100804694,0.0608569,0.05652134,0.07733503,0.09763206,0.058528922,0.05493619,0.078777336,0.09827647,0.05654152,0.057024594,0.07553304,0.09925498,0.06284085,0.054982316,0.08294443,0.10037399,0.06285019,0.064565085,0.0901407,0.09209515
0.9558207,0.9112837,1.0845073,0.9147898,0.96999645,0.91181344,1.0771005,0.92129666,0.9504824,0.9110232,1.082103,0.91166955,0.978284,0.91276747,1.0737432,0.9307968,0.9482113,0.9114877,1.0717629,0.9312105,0.9653701,0.9189731,1.0837677,0.9106579,0.9721021,0.89384764,1.1719109,0.92177504
0.07948199,0.057643842,0.04688515,0.054183856,0.079244874,0.059135668,0.047049303,0.055850312,0.08303588,0.060627718,0.042981368,0.05243679,0.07471021,0.05833488,0.04753869,0.052081086,0.0846609,0.06410555,0.045254417,0.051717006,0.07596702,0.061410118,0.048302226,0.05496458,0.07826176,0.068110295,0.046086174,0.05212347
