GHAR2H_M,GHAR2H_M_IV,GHAR3H_M,GHAR3H_M_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.012944396,0.012139194,0.012543064,0.012163632,0.012988219,0.0121227335,0.013502823,0.011973236,0.01298928,0.013241095,0.013441833,0.011998145,0.013567888,0.014238879,0.013566539,0.012133886,0.013302601,0.01168213,0.013740975,0.011536206,0.013216844,0.011956016,0.013590962,0.011512186,0.013307632,0.012210544,0.013667099,0.011657438,0.012941067,0.011554525,0.01389842,0.011893617
0.016820941,0.014864117,0.017020436,0.014831644,0.016789084,0.014886657,0.016419241,0.01493585,0.016658295,0.015088661,0.016436698,0.014923399,0.016841035,0.016267158,0.01644186,0.0149331195,0.016823374,0.014099036,0.016414199,0.014783761,0.016870989,0.01465056,0.016535971,0.014886118,0.016887462,0.014672502,0.016455332,0.014782046,0.017000427,0.014902817,0.016369017,0.015117462
0.0049067093,0.0049168435,0.004969593,0.0049266005,0.004876505,0.00496016,0.0046067066,0.0046681245,0.00491005,0.005338358,0.0045880578,0.0046678428,0.0050786077,0.0062437174,0.004653463,0.0047722817,0.0049464884,0.0051586656,0.0046210275,0.004612869,0.004911415,0.0053394274,0.004604434,0.004623311,0.0049374104,0.0050405553,0.00461057,0.0046331175,0.0048864502,0.004851522,0.004596786,0.0046509807
0.0050272285,0.0044593667,0.005097612,0.0044795787,0.004899059,0.004433481,0.0047080177,0.004709155,0.004843104,0.0046357494,0.004714091,0.0047338125,0.004994031,0.0055878083,0.0046921116,0.004764955,0.004967759,0.0045881784,0.004707191,0.0047769113,0.0050237062,0.0045485287,0.00475633,0.004865294,0.0050183716,0.0044771186,0.004728912,0.004743165,0.005404729,0.004436042,0.004781109,0.0046537775
0.0026005362,0.0038924376,0.0027817397,0.003937086,0.0025161584,0.003885818,0.0025021033,0.0032886935,0.0025684754,0.0040888404,0.002491921,0.003334631,0.0028108843,0.0050873533,0.0025456515,0.0035084854,0.0026273937,0.0035924886,0.0024915764,0.0034777005,0.0026695873,0.0039252015,0.0024503025,0.0033730923,0.002662605,0.003887589,0.002479071,0.0033283602,0.0033477664,0.003650377,0.002816964,0.003046092
0.004486235,0.00499851,0.004581867,0.0049840068,0.0044918363,0.0051205144,0.004252743,0.004466603,0.0045715556,0.005610935,0.004224885,0.0044862414,0.0048209075,0.006664495,0.004234881,0.004442376,0.0045428537,0.0044485093,0.0042271586,0.004189804,0.0044974284,0.0047337525,0.004212347,0.0040280516,0.0044754324,0.0045920126,0.0042128405,0.0041195536,0.0044162786,0.004250791,0.004230574,0.0042070793
0.011218223,0.009499106,0.011384406,0.009427109,0.010957202,0.009708001,0.010436177,0.009277646,0.010739917,0.00913064,0.010529672,0.009183478,0.010225415,0.008604156,0.0106519,0.009148079,0.010960721,0.009863382,0.010626739,0.009632345,0.011207462,0.009265838,0.010742359,0.009872455,0.010981881,0.009347378,0.010596429,0.009584149,0.010951661,0.010430053,0.010239013,0.009692472
0.025985071,0.024845302,0.025771854,0.024939647,0.02573497,0.024816414,0.02610832,0.025998037,0.025995072,0.025815893,0.02596595,0.025997456,0.027380435,0.028340867,0.026273547,0.026659032,0.026478978,0.024900615,0.026322385,0.026000688,0.026390206,0.026617972,0.026188677,0.025333682,0.026418366,0.025775034,0.026417062,0.02562689,0.026775753,0.024216348,0.026557574,0.025585117
0.013794718,0.012978064,0.0139188,0.012972549,0.013590487,0.013037489,0.013613639,0.012993703,0.013492443,0.013212158,0.013652762,0.013019713,0.013640091,0.013507597,0.013757484,0.013036737,0.013738406,0.012922953,0.013753215,0.012947885,0.0140128415,0.0129434,0.0138195045,0.012960146,0.013873923,0.013008225,0.013776421,0.012975145,0.0140652945,0.013354765,0.013729099,0.013093556
0.0055667437,0.0037989721,0.0055646463,0.0037903655,0.005244104,0.0038415783,0.0049101585,0.0037397435,0.005172069,0.0041798945,0.004929709,0.0037016214,0.0053396947,0.0044378974,0.005081394,0.0036953453,0.005518557,0.0040343464,0.0050875563,0.0036354852,0.005659633,0.0039014162,0.005174202,0.0036598418,0.0055433786,0.0039098314,0.005129924,0.003702934,0.005381393,0.0039390377,0.004903763,0.0038551602
