GHAR2H_M,GHAR2H_M_IV,GHAR3H_M,GHAR3H_M_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.16136049,0.147692,0.16166866,0.14786392,0.16059498,0.14759815,0.14904179,0.15738359,0.1639417,0.15261412,0.14836867,0.15649359,0.17037708,0.16695663,0.15128702,0.1599081,0.16568866,0.15331456,0.1502133,0.15452951,0.16275224,0.1523859,0.15044677,0.15516724,0.1632432,0.1522509,0.1500097,0.15622424,0.1525183,0.14700283,0.14513004,0.15910093
0.10803172,0.106947124,0.10808772,0.10717596,0.107004315,0.106997214,0.09754229,0.122858144,0.1109929,0.11246197,0.09666735,0.122234784,0.12085987,0.1310126,0.09940433,0.12580064,0.112916194,0.10599567,0.098895825,0.117441304,0.10987838,0.1083472,0.09929486,0.117325835,0.11180646,0.10966288,0.09856379,0.11970904,0.100345686,0.103400365,0.09272511,0.12254012
0.07268594,0.09212434,0.073058896,0.09254893,0.07103393,0.09299178,0.06932632,0.08802955,0.07223916,0.09087791,0.06926349,0.08827964,0.07803689,0.099837735,0.07000484,0.090938695,0.075008474,0.092725374,0.07019088,0.091306865,0.07420842,0.09098687,0.0701584,0.09112543,0.074214645,0.090648055,0.07037179,0.08870463,0.0771727,0.090686075,0.07367421,0.086285695
0.09441269,0.10302505,0.09611655,0.10276681,0.09431007,0.10392661,0.08174708,0.10908986,0.09677404,0.10833764,0.08130685,0.108393155,0.1040188,0.11774499,0.08361238,0.10976416,0.09796306,0.102099195,0.08282669,0.105109386,0.094769426,0.100847945,0.08339119,0.10589345,0.09497637,0.10191742,0.082052894,0.106233306,0.080973335,0.09747034,0.07509545,0.10922837
0.24076384,0.22609654,0.24180582,0.2255381,0.23830426,0.2294904,0.22853862,0.22821417,0.23735458,0.22061823,0.22952035,0.22685441,0.23576032,0.21527949,0.23091532,0.2273326,0.24042594,0.23040013,0.23127344,0.23097667,0.24118996,0.22289596,0.23262694,0.23470457,0.2397692,0.22529632,0.2307233,0.23093934,0.23150243,0.23833434,0.22500321,0.23389864
1.6885779,1.6225582,1.682503,1.6240722,1.6813653,1.6215568,1.6667541,1.6813453,1.6912537,1.6445229,1.6625963,1.6791415,1.7319332,1.6894691,1.6751568,1.6917503,1.706703,1.6354547,1.6755236,1.6762824,1.6994401,1.657971,1.6743747,1.6649141,1.7002056,1.6504939,1.6767825,1.6728964,1.676244,1.6186937,1.660866,1.6825414
0.33917826,0.33175758,0.33958963,0.33181456,0.33496636,0.33227393,0.33318788,0.35891908,0.33673152,0.33822224,0.33228886,0.35912448,0.34472942,0.35063633,0.33400378,0.36105627,0.34377143,0.33481103,0.33523166,0.35903037,0.343069,0.3318229,0.33667603,0.35933483,0.3477617,0.3413318,0.33551428,0.35711193,0.34022337,0.33341858,0.33363008,0.3603495
0.33847508,0.257549,0.33812845,0.25724745,0.3355427,0.257488,0.32956704,0.27886975,0.33959448,0.27146065,0.32828024,0.2780665,0.34183744,0.3005202,0.32588112,0.28173375,0.33937427,0.26958835,0.32607204,0.27604538,0.33709466,0.25766474,0.3257114,0.27441615,0.34090447,0.27623448,0.32671168,0.27209216,0.353313,0.2664305,0.3401611,0.2825902
0.13260072,0.13703859,0.13345875,0.13682817,0.12803514,0.1382801,0.11072518,0.14953117,0.13004078,0.14053807,0.110065855,0.14852197,0.13636097,0.14236471,0.11468008,0.15127856,0.13744783,0.140252,0.11451896,0.14787297,0.13537769,0.13784443,0.116286054,0.1532475,0.13694684,0.14436077,0.11421079,0.14958811,0.1180746,0.132093,0.10362953,0.15171212
0.78031814,0.7292213,0.7812712,0.7287961,0.7756614,0.73041075,0.8198288,0.7331149,0.7686871,0.71234584,0.82340926,0.7338609,0.7732039,0.70790106,0.8247965,0.73196495,0.77147835,0.7113759,0.8230624,0.73904735,0.7813847,0.7364349,0.8219368,0.73204625,0.7758031,0.70710814,0.8249603,0.73732764,0.80354756,0.7433934,0.8428775,0.73497653
1.2850434,1.1987761,1.2871017,1.1983303,1.2950876,1.1977549,1.3531597,1.2291939,1.2934759,1.1957079,1.3558897,1.2295954,1.2708768,1.1972268,1.3423154,1.2312706,1.2756009,1.1812395,1.3433703,1.2319555,1.2794138,1.2042929,1.3403015,1.2271355,1.280079,1.1904733,1.343531,1.2271425,1.3164507,1.2026877,1.3757929,1.2278559
0.4975164,0.5422383,0.49697,0.5432662,0.4980408,0.5419728,0.5247598,0.51615363,0.4920114,0.53308594,0.5269593,0.51758105,0.48966536,0.53077334,0.521137,0.5110814,0.5035524,0.52477413,0.5231189,0.51869035,0.5031329,0.54082024,0.5252366,0.51473886,0.49811712,0.52950424,0.52483314,0.5151818,0.52184135,0.5582409,0.54508734,0.5175554
0.047270983,0.07881698,0.049339827,0.079113,0.046334676,0.07893134,0.044583037,0.05712187,0.04389159,0.07020349,0.0462557,0.05701516,0.045768186,0.06399591,0.04235287,0.055765875,0.05206399,0.06937641,0.04244623,0.059850782,0.050889514,0.06453965,0.046344902,0.05684238,0.04823792,0.06356272,0.0421173,0.056911156,0.04479198,0.08486547,0.046751644,0.05945411
0.03506617,0.05891059,0.037522983,0.058797725,0.034131505,0.059155826,0.03089102,0.046690106,0.0334084,0.0542573,0.031792324,0.04658463,0.036002968,0.05126481,0.029505504,0.04625059,0.038330115,0.05538426,0.029632406,0.04723803,0.037001155,0.059983954,0.031969093,0.047019828,0.03554123,0.053630736,0.029384712,0.046867266,0.033065554,0.0603822,0.03239314,0.047530442
0.46319517,0.43275473,0.45854715,0.4341345,0.46402377,0.43113855,0.50840175,0.42610237,0.45920977,0.4253097,0.510709,0.42773768,0.4512822,0.423023,0.49905324,0.42409772,0.4576687,0.4288318,0.50263774,0.42918867,0.46124083,0.43414444,0.50210464,0.42642647,0.4622387,0.423182,0.50409305,0.42615822,0.49833113,0.43979833,0.5364371,0.4247186
0.121087335,0.11118773,0.120708644,0.1114963,0.11986524,0.11113084,0.11061081,0.1208159,0.12646684,0.11460015,0.10975453,0.1199303,0.1358,0.13944992,0.11465925,0.12642747,0.1266026,0.1603597,0.11341226,0.12039693,0.12582123,0.12433594,0.11196002,0.12098485,0.12532619,0.1374018,0.113863334,0.12524699,0.12120512,0.10994762,0.11097081,0.12000371
0.90195936,0.83894575,0.9042189,0.8386607,0.8986512,0.8399683,0.9550391,0.82787246,0.8789541,0.81364167,0.9618969,0.82899475,0.8484518,0.76558864,0.94064593,0.81435657,0.8706146,0.7421196,0.9461369,0.82667476,0.88247,0.7735064,0.9511412,0.82915306,0.8818216,0.7743555,0.9447073,0.81605947,0.9203299,0.864085,0.97676104,0.8355725
0.28030965,0.31743196,0.28105813,0.31826848,0.28146762,0.3183329,0.27792808,0.29430383,0.28525588,0.3124481,0.27826294,0.29388607,0.28051257,0.31271768,0.2755053,0.2943968,0.27804172,0.32142022,0.27597097,0.29522142,0.27782056,0.31611624,0.2757038,0.294459,0.2781539,0.31923234,0.27574,0.29478252,0.27544546,0.32092574,0.28011855,0.2930862
0.17615086,0.21913587,0.17539735,0.22037439,0.17599043,0.21913734,0.17430891,0.19034405,0.17664059,0.210838,0.1749241,0.19061688,0.176724,0.21314947,0.17192268,0.19002323,0.17739367,0.219746,0.17279598,0.19125578,0.17830904,0.21863957,0.17324379,0.1915976,0.17769557,0.21796247,0.17335886,0.19162075,0.17854191,0.22410053,0.18004988,0.1900358
0.2882302,0.24822642,0.2874283,0.24806723,0.28699622,0.24890833,0.28355992,0.26516226,0.29657605,0.260611,0.28265387,0.26417145,0.29769987,0.27135894,0.2869667,0.27118176,0.2984984,0.26788327,0.28678,0.26454148,0.2971586,0.28117403,0.28492182,0.26413283,0.29586428,0.2732318,0.28589994,0.26715907,0.28771302,0.24992844,0.2858466,0.26421127
1.7175981,1.6319551,1.7091618,1.6328248,1.7170883,1.6319758,1.8025194,1.655031,1.7139564,1.6370351,1.8085723,1.6570696,1.7054987,1.6385193,1.7859836,1.6461536,1.7088554,1.6302963,1.7928934,1.6500441,1.7136861,1.6271375,1.7950591,1.6503311,1.7193819,1.6420741,1.7875358,1.6549597,1.7873337,1.6465652,1.8408858,1.6488719
0.090105295,0.10501513,0.09267589,0.10509912,0.0895384,0.104924925,0.07063876,0.080903985,0.08847159,0.10188556,0.07112911,0.081514895,0.09017001,0.10018097,0.07055937,0.07997037,0.089235894,0.10377,0.0702219,0.079099275,0.08873988,0.10269459,0.07026089,0.0806685,0.09057556,0.10231828,0.070464954,0.08123367,0.08353626,0.10882429,0.06834491,0.08157528
23.011812,22.331133,23.013546,22.31895,22.993454,22.342613,22.98565,22.55582,23.008308,22.403131,22.971443,22.548256,23.04581,22.394823,23.0311,22.556408,23.112219,22.324202,23.018064,22.564713,23.06198,22.349852,23.013023,22.540442,23.019974,22.332186,23.025951,22.521242,22.957563,22.305893,22.967194,22.565527
0.29815573,0.36410272,0.30192506,0.36030787,0.28636625,0.36804992,0.2883833,0.43972322,0.30703157,0.37945384,0.284006,0.44205767,0.3356497,0.3701982,0.30114725,0.45448655,0.30791017,0.45162573,0.30109003,0.45114106,0.30955046,0.40762597,0.30053982,0.45925015,0.30034983,0.3413253,0.3049032,0.45626932,0.2523652,0.34209323,0.26582694,0.5052725
0.14282173,0.19188544,0.14733614,0.18965568,0.13562249,0.19502042,0.12972379,0.22900803,0.14133184,0.19179879,0.1291088,0.2307131,0.1567668,0.18696697,0.13721286,0.23538746,0.15142086,0.22837436,0.13732547,0.23314802,0.14606008,0.20822763,0.13868506,0.24127749,0.15826035,0.18007238,0.13816158,0.24047638,0.12928139,0.1866742,0.12373944,0.26583442
1.8992975,1.8679935,1.9096961,1.8621068,1.885455,1.8705089,1.9726794,2.0217206,1.8848084,1.871855,1.9798193,2.028655,1.9100516,1.8316394,1.9787514,2.0208297,1.9111154,1.8799013,1.9878415,2.0277643,1.8806897,1.8461382,1.9884013,2.0315847,1.9637332,1.8397093,1.9709686,2.034492,1.888575,1.8633131,1.9710836,2.0482774
0.08947084,0.10290141,0.087610066,0.104724325,0.09545494,0.101480484,0.079131044,0.046914794,0.09504914,0.091893375,0.08206705,0.048580255,0.079453684,0.09492152,0.06888887,0.041494444,0.08084192,0.08079789,0.06840255,0.043889113,0.082970895,0.07981307,0.07044959,0.04325848,0.08570309,0.09370939,0.0669306,0.044743113,0.1241554,0.11172945,0.09866052,0.044806555
0.06380221,0.070578024,0.06477074,0.07065696,0.06045804,0.07092264,0.064093366,0.13781972,0.059759203,0.07139074,0.0628173,0.13827485,0.065071575,0.067920275,0.07303677,0.13929148,0.06735931,0.069950074,0.07295224,0.14021674,0.06714935,0.07598936,0.07034297,0.14456989,0.076376386,0.07329212,0.07336549,0.14241019,0.051115435,0.06797157,0.056235883,0.13176873
3.961447,3.9224236,3.9660077,3.9266627,3.9758854,3.9183853,3.8603127,3.83707,3.9933503,3.9247072,3.85447,3.8324192,3.9633288,3.9292207,3.861103,3.8358915,3.9707625,3.9408371,3.85751,3.826465,3.9647665,3.9284604,3.8544264,3.8358479,3.9535875,3.9339254,3.859037,3.8310895,3.9404135,3.9487133,3.8453426,3.8390942
0.09306519,0.13229421,0.09666909,0.13240904,0.09207426,0.13182719,0.09871494,0.16281225,0.08086658,0.12059124,0.100505985,0.164334,0.08494655,0.13250706,0.10092029,0.1566289,0.090054944,0.09917419,0.10052998,0.16142921,0.09054271,0.11178966,0.09970665,0.16122925,0.09161942,0.11680734,0.100472525,0.16290514,0.100828834,0.12529272,0.10315936,0.14824168
0.46357167,0.5190883,0.476263,0.51705694,0.4504753,0.5207947,0.42087483,0.6495905,0.4389839,0.5032856,0.41871706,0.6508737,0.46353352,0.5465849,0.4398852,0.64630276,0.45952657,0.50521225,0.43822542,0.65480757,0.4620806,0.50792223,0.43476713,0.6596654,0.46227935,0.4948836,0.44399145,0.6568904,0.39474684,0.49413094,0.3812083,0.6454288
0.020663746,0.069829226,0.024319991,0.069388814,0.020137405,0.069424056,0.02136979,0.06461031,0.017844671,0.05074272,0.023289725,0.066861846,0.018184358,0.11306046,0.01906282,0.059719726,0.014927269,0.053115964,0.018887457,0.06631145,0.016795894,0.042781312,0.019372737,0.06254144,0.016752161,0.038614906,0.018063985,0.0636307,0.029504571,0.06070829,0.02851932,0.061438765
0.095356375,0.116170995,0.101511024,0.115253724,0.09075489,0.1161258,0.07517494,0.17483206,0.09000054,0.11267562,0.0727874,0.17551784,0.099038325,0.15420501,0.08585967,0.17326495,0.10405713,0.10609024,0.084505394,0.1780639,0.09977509,0.11297858,0.082601815,0.18338364,0.094139874,0.109245405,0.08637657,0.18009485,0.07082326,0.09619293,0.061764315,0.17457224
0.3034989,0.3182247,0.31320983,0.31686136,0.29318547,0.31818068,0.2604321,0.43463787,0.28699073,0.30957374,0.2555523,0.43432203,0.30861717,0.36046922,0.28146973,0.43319115,0.31462047,0.3077395,0.27823347,0.44063437,0.30939996,0.3167164,0.2748984,0.45107386,0.30377147,0.3135302,0.2843978,0.44325393,0.24028185,0.28363514,0.22652847,0.4363422
0.0816456,0.12942326,0.08853832,0.1284944,0.077447996,0.12938844,0.054537643,0.17625387,0.07463144,0.1161915,0.052489135,0.1773379,0.085149385,0.1768549,0.06271385,0.17275226,0.085570626,0.11986209,0.061939046,0.1814463,0.08350892,0.1135758,0.059617188,0.18484034,0.08117884,0.10930818,0.065379515,0.18143913,0.047242522,0.10739448,0.038218897,0.17784135
