model,layers,estimation,hidden,lr,epochs,seed,valid_mse,valid_qlike,test_mse_diagnostic,test_qlike_diagnostic,selected
GNNHAR1L-IV,1,MSE,8,0.003,300,20260605,1.246269702911377,0.001035430352203548,1.4436510801315308,0.0011207364732399583,False
GNNHAR1L-IV,1,MSE,8,0.003,500,20260605,1.0173842906951904,0.0008824564865790308,1.1645896434783936,0.0009233944001607597,False
GNNHAR1L-IV,1,MSE,16,0.0003,250,20260605,6.674652099609375,0.004385713022202253,5.184845924377441,0.003976455889642239,False
GNNHAR1L-IV,1,MSE,16,0.0003,300,20260605,5.846615314483643,0.003914486151188612,4.737553596496582,0.0036171656101942062,False
GNNHAR1L-IV,1,MSE,16,0.0003,500,20260605,3.350062608718872,0.0024699510540813208,3.2669572830200195,0.0024652478750795126,False
GNNHAR1L-IV,1,MSE,16,0.001,250,20260605,1.98313307762146,0.0015494468389078975,2.054185152053833,0.001551492721773684,False
GNNHAR1L-IV,1,MSE,16,0.001,300,20260605,1.8057985305786133,0.0013968223938718438,1.8219358921051025,0.0013692204374819994,False
GNNHAR1L-IV,1,MSE,16,0.001,500,20260605,1.4226210117340088,0.001125262351706624,1.4530820846557617,0.001092388411052525,False
GNNHAR1L-IV,1,MSE,16,0.003,250,20260605,1.297005534172058,0.0010349348885938525,1.2845194339752197,0.0009750822791829705,False
GNNHAR1L-IV,1,MSE,16,0.003,300,20260605,1.1839028596878052,0.0009596754098311067,1.189450979232788,0.0009120843606069684,False
GNNHAR1L-IV,1,MSE,16,0.003,500,20260605,1.027884602546692,0.0008465976570732892,1.0790826082229614,0.0008382906671613455,False
GNNHAR1L-IV,1,MSE,32,0.0003,250,20260605,7.1541948318481445,0.005310745909810066,7.123036861419678,0.0066368761472404,False
GNNHAR1L-IV,1,MSE,32,0.0003,300,20260605,6.075008392333984,0.004527476616203785,6.52213191986084,0.006015591789036989,False
GNNHAR1L-IV,1,MSE,32,0.0003,500,20260605,3.461219310760498,0.0025467320811003447,5.224304676055908,0.004283950664103031,False
GNNHAR1L-IV,1,MSE,32,0.001,250,20260605,2.1012651920318604,0.0015832629287615418,3.6768033504486084,0.002653850009664893,False
GNNHAR1L-IV,1,MSE,32,0.001,300,20260605,1.783108115196228,0.0013818311272189021,2.9023613929748535,0.0020655361004173756,False
GNNHAR1L-IV,1,MSE,32,0.001,500,20260605,1.261141061782837,0.0010458098258823156,1.4910897016525269,0.0011046217987313867,False
GNNHAR1L-IV,1,MSE,32,0.003,250,20260605,1.1877890825271606,0.0009889996144920588,1.2801331281661987,0.0009824212174862623,False
GNNHAR1L-IV,1,MSE,32,0.003,300,20260605,1.1459254026412964,0.0009533182019367814,1.1898037195205688,0.0009227079572156072,False
GNNHAR1L-IV,1,MSE,32,0.003,500,20260605,1.0253524780273438,0.0008629999356344342,1.0670500993728638,0.0008352422155439854,False
GNNHAR1L-IV,1,MSE,64,0.0003,250,20260605,4.898278713226318,0.0036288793198764324,5.044179439544678,0.0044858804903924465,False
GNNHAR1L-IV,1,MSE,64,0.0003,300,20260605,3.802210807800293,0.002906167646870017,4.394512176513672,0.003926483448594809,False
GNNHAR1L-IV,1,MSE,64,0.0003,500,20260605,1.8929367065429688,0.0016356540145352483,2.2802681922912598,0.00211564009077847,False
GNNHAR1L-IV,1,MSE,64,0.001,250,20260605,1.4839613437652588,0.0012373083736747503,1.392614722251892,0.0012391096679493785,False
GNNHAR1L-IV,1,MSE,64,0.001,300,20260605,1.3948249816894531,0.0011550987837836146,1.2733118534088135,0.001101055764593184,False
GNNHAR1L-IV,1,MSE,64,0.001,500,20260605,1.1412346363067627,0.0009463457972742617,1.0954012870788574,0.0008973610238172114,False
GNNHAR1L-IV,1,MSE,64,0.003,250,20260605,1.0553971529006958,0.0009021946461871266,1.0338770151138306,0.0008592215017415583,False
GNNHAR1L-IV,1,MSE,64,0.003,300,20260605,1.015516996383667,0.0008628942887298763,1.0287353992462158,0.0008502616547048092,False
GNNHAR1L-IV,1,MSE,64,0.003,500,20260605,0.9573506712913513,0.0008074284414760768,1.036817193031311,0.0008347268449142575,True
GNNHAR2L-IV,2,MSE,8,0.0003,250,20260606,7.293551445007324,0.005294377915561199,7.882752418518066,0.0062949503771960735,False
GNNHAR2L-IV,2,MSE,8,0.0003,300,20260606,5.769550323486328,0.004389828536659479,6.769839763641357,0.005356372334063053,False
GNNHAR2L-IV,2,MSE,8,0.0003,500,20260606,2.5309066772460938,0.0020833960734307766,2.9497480392456055,0.0024115699343383312,False
GNNHAR2L-IV,2,MSE,8,0.001,250,20260606,1.5034343004226685,0.0012345686554908752,1.5552555322647095,0.0012329474557191133,False
GNNHAR2L-IV,2,MSE,8,0.001,300,20260606,1.310195803642273,0.0010745603358373046,1.4128731489181519,0.0011023152619600296,False
