GHAR2H_M,GHAR2H_M_IV,GHAR2H_Q,GHAR2H_Q_IV,GHAR3H_M,GHAR3H_M_IV,GHAR3H_Q,GHAR3H_Q_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
4.494461,5.3663282,2437.2742,1580.039,4.4977083,5.5055714,2418.7761,1583.9974,4.497036,5.383695,2518.7017,1653.0619,47.215816,48.1424,284.568,243.89041,46.999153,47.390156,258.5029,213.93593,47.218086,47.74697,289.63397,242.23573,46.920345,47.492065,255.00706,233.14601,47.30888,47.528076,289.13898,244.78098,4.52932,5.39878,3353.0332,2260.017
6.207274,7.1292987,2493.0232,1532.4791,6.2423472,6.923631,2474.077,1536.0665,6.1079164,7.2287765,2572.1091,1605.5782,49.648376,50.427708,278.96722,232.43336,48.539455,48.886528,252.61342,204.36755,49.523254,49.085617,284.5538,230.61049,48.395035,49.42997,251.64891,222.643,49.48589,48.89621,284.2749,233.2664,5.9367604,7.111119,3412.7817,2202.0212
1.3263445,1.9065436,3560.5618,2068.7424,1.3323759,2.1558278,3533.4424,2072.2075,1.3049523,1.917151,3678.9172,2176.3113,45.61543,46.12333,382.24573,306.08994,45.35876,45.533524,343.54892,272.16443,45.602283,45.825855,389.9782,303.71024,45.380413,45.53707,351.08514,297.0728,45.558037,45.47366,389.43524,307.5261,1.2703266,1.8886067,4855.084,2991.0623
1.9546883,3.1496298,2827.0984,1579.3365,1.9655223,3.1344678,2805.9292,1582.5165,1.9253514,3.1886857,2906.1797,1658.1687,46.487717,47.711304,304.55408,239.58057,46.104134,46.709606,275.18765,212.0282,46.492527,47.079998,312.08167,237.64185,46.047466,46.735764,279.606,231.22964,46.50773,46.685917,312.16177,240.93071,1.8903486,3.1618557,3814.2456,2280.5103
11.909125,11.254061,2901.898,1527.6718,11.962746,10.986106,2880.313,1530.2916,11.841292,11.331912,2976.1843,1604.8876,60.615047,59.843037,315.10638,239.93639,60.108932,59.200687,285.51242,213.7207,60.54953,64.27044,323.36276,237.70177,60.207184,59.060726,291.96786,232.29628,60.594482,59.490395,323.5498,241.47961,11.741554,11.277984,3882.8826,2210.0908
10.873434,10.85017,2864.9749,1440.8953,10.887341,10.826578,2843.9468,1443.4965,10.858962,10.916552,2930.7527,1514.6973,57.12538,57.18102,305.11337,226.97414,56.666935,56.771507,276.2178,202.38704,57.01813,57.546196,314.10782,224.96193,56.601048,56.994545,284.72675,220.1298,56.98512,56.35038,314.64767,228.59256,10.817517,10.86822,3803.437,2089.846
27.413666,25.90827,2896.2654,1364.9646,27.470608,25.52041,2875.393,1367.3496,27.315315,26.060564,2955.1404,1435.6659,72.92644,70.99869,309.10275,221.73619,72.12708,68.91057,281.89493,198.66267,72.99988,68.36677,318.7601,219.2688,72.55316,68.82377,292.91403,214.69423,72.98822,71.04515,319.5134,223.37473,27.219423,25.996433,3810.8757,1981.9036
31.238503,31.146858,3700.3809,1656.1008,31.263878,31.74433,3673.4517,1657.7878,31.192955,31.15816,3778.0618,1747.3779,83.45288,83.256584,393.82446,278.88922,82.3442,82.06879,356.7239,253.27223,83.36857,82.24799,405.36935,275.78445,82.196724,82.213196,376.59235,273.17264,83.32216,81.82844,406.43454,280.7468,31.096918,31.069445,4846.9233,2412.96
3.1670792,4.638502,11274.674,6154.739,3.1972039,5.8841743,11195.542,6137.667,3.1008925,4.5500517,12040.696,6684.0205,59.91102,61.71682,942.2838,696.7739,57.95037,59.18864,773.0704,693.19354,59.93396,59.528435,943.4699,695.6108,57.871685,59.37495,991.9401,763.6979,59.90666,58.89025,934.70685,711.45996,2.9613981,4.4891334,15692.558,9169.132
15.618725,15.067955,13118.141,8594.216,15.633083,15.521681,13019.594,8593.592,15.573718,15.090816,13916.356,9338.856,73.09958,73.12413,1077.9775,854.1893,71.43755,70.88897,899.9922,840.69037,72.916534,70.945076,1085.0153,868.59814,71.52257,70.81793,1105.239,948.24255,72.92373,71.26067,1077.5096,881.11975,15.454825,14.969551,18249.37,13237.913
12.888835,12.178431,13535.39,8545.497,12.8731165,12.885709,13427.751,8557.618,12.889966,12.18171,14202.983,9214.53,78.64904,78.57717,1117.7092,878.14813,77.52758,77.11795,954.57697,832.8577,78.450134,77.979225,1133.9528,889.65344,77.51139,77.05351,1108.1625,938.4408,78.56132,77.41515,1129.6763,907.11847,12.828325,12.124381,18684.086,13177.968
65.77001,57.475224,13306.578,8617.205,65.686516,57.322105,13198.84,8648.015,65.81108,57.62993,13784.852,9219.347,140.53078,131.90082,1260.3386,998.57996,140.75067,134.0813,1117.4369,922.71985,140.5747,134.34912,1288.8741,1011.7898,141.36162,133.9758,1216.8413,1034.5414,140.50992,134.59242,1288.8052,1033.1948,65.83685,57.579224,18053.02,13344.349
14.864865,13.4092245,7429.4204,4756.2246,14.824507,14.578991,7367.4263,4784.057,14.885529,13.363173,7591.072,5028.0405,97.65166,96.8725,696.4107,561.9386,97.04865,96.21569,631.8588,496.6349,97.67179,97.17277,718.85455,569.2637,97.12231,96.73109,645.78326,560.54346,97.63573,96.72829,721.0954,584.4552,14.84202,13.31049,9939.668,7297.309
31.490782,27.361845,7379.3267,4447.163,31.493567,27.846468,7318.7344,4473.909,31.466444,27.378098,7527.021,4706.167,118.40121,114.46478,711.4243,555.31055,118.28621,115.40218,646.9332,491.93106,118.56337,115.62448,734.7626,560.41016,118.5305,115.78366,665.72284,552.2366,118.61504,115.51601,737.3869,579.2008,31.490068,27.356024,9803.047,6870.2603
21.287338,19.346586,7325.773,4281.4556,21.321589,19.810808,7265.8896,4306.7334,21.264456,19.339891,7465.702,4532.5347,109.78812,107.72026,674.76044,520.23395,109.078865,107.51152,610.10065,461.33755,109.97804,107.95549,698.1448,525.0092,109.33652,107.48277,635.61194,518.191,109.936615,108.41437,700.8234,544.0919,21.180351,19.281115,9691.578,6596.864
52.965965,45.87941,8033.9614,4669.4556,53.013382,46.305183,7971.438,4695.5347,52.90057,45.903156,8170.6724,4937.0186,141.66217,134.58548,859.024,657.40674,142.05092,135.56212,785.7336,594.1519,142.17433,137.10854,887.496,661.92114,142.8599,135.34442,827.3272,658.39374,142.25964,137.18175,891.5352,683.70825,53.039677,45.942547,10455.493,7085.9014
5.313911,5.0504904,8771.696,4773.484,5.288536,6.571092,8695.043,4793.9507,5.323909,4.9503884,9028.064,5062.9277,97.93398,97.66833,730.45667,564.9389,97.22205,97.87607,650.15375,502.33542,97.977135,97.53793,750.71234,563.6834,97.19921,97.965004,693.62244,556.8501,97.978424,97.78943,752.2007,590.9196,5.2261157,4.93677,11877.391,7249.912
56.28468,55.23961,6731.627,3669.7954,56.342808,55.860214,6674.319,3684.9583,56.203896,55.21761,6888.2017,3864.178,137.77992,137.4084,617.5397,492.9449,138.57367,138.76051,559.13525,442.42258,137.71971,138.52873,635.5531,490.879,138.43594,139.37227,587.45953,482.34552,137.65063,138.93005,637.7078,510.76343,56.08746,55.167225,8987.605,5382.1914
