GHAR2H_M,GHAR2H_M_IV,GHAR2H_Q,GHAR2H_Q_IV,GHAR3H_M,GHAR3H_M_IV,GHAR3H_Q,GHAR3H_Q_IV,GHAR_M,GHAR_M_IV,GHAR_Q,GHAR_Q_IV,GNNHAR1L_M,GNNHAR1L_M_IV,GNNHAR1L_Q,GNNHAR1L_Q_IV,GNNHAR2L_M,GNNHAR2L_M_IV,GNNHAR2L_Q,GNNHAR2L_Q_IV,GNNHAR3L_M,GNNHAR3L_M_IV,GNNHAR3L_Q,GNNHAR3L_Q_IV,GNNHAR4L_M,GNNHAR4L_M_IV,GNNHAR4L_Q,GNNHAR4L_Q_IV,GNNHAR5L_M,GNNHAR5L_M_IV,GNNHAR5L_Q,GNNHAR5L_Q_IV,HAR_M,HAR_M_IV,HAR_Q,HAR_Q_IV
0.00893617,0.008715221,0.01872977,0.016215265,0.008956835,0.009006667,0.018740814,0.016209947,0.00891815,0.008728873,0.018773463,0.016401106,0.044591125,0.044231124,0.032986645,0.032186776,0.044442713,0.044036936,0.032962505,0.032041177,0.0445863,0.043978404,0.033013515,0.03211679,0.044490308,0.044051692,0.033017404,0.032029796,0.04459362,0.044287223,0.03303959,0.03215832,0.008962897,0.008764175,0.019535651,0.017248178
0.0020732111,0.0018928032,0.011426213,0.0097284345,0.0020876555,0.0022756683,0.011430241,0.009708704,0.0020518054,0.0018778368,0.011413841,0.009751048,0.043279666,0.04325456,0.030572971,0.030250594,0.043089647,0.04316957,0.03052596,0.03017101,0.04326844,0.04324052,0.030535571,0.030209925,0.043089204,0.043208767,0.030481944,0.03016799,0.043257706,0.04311852,0.03057815,0.030234423,0.0020521581,0.0018942539,0.011856005,0.01021197
0.0015961701,0.0013898433,0.015539807,0.013527074,0.0016045218,0.0016349361,0.015543372,0.013503913,0.0015718628,0.0013756449,0.015540452,0.013555814,0.04681357,0.047021262,0.03466923,0.03442477,0.046732787,0.046957735,0.034451533,0.034333356,0.046814233,0.047107358,0.034647316,0.034401443,0.046714038,0.047012474,0.03467517,0.034437016,0.046810567,0.046864882,0.0346759,0.034424562,0.0015602226,0.0013920643,0.016283192,0.014308371
0.0094197,0.008389669,0.02212807,0.018733945,0.009414655,0.008557875,0.022140937,0.018735334,0.009421022,0.008390475,0.022186385,0.018910712,0.05516654,0.05478398,0.042019654,0.041310746,0.054955076,0.05455969,0.04188275,0.04125313,0.055103965,0.05458147,0.042016044,0.04131471,0.05499698,0.05449815,0.042074174,0.04139123,0.05510882,0.054708146,0.042070217,0.041357156,0.009435658,0.008365242,0.022826469,0.01961283
0.0058320444,0.004937313,0.019995585,0.016553398,0.005812236,0.0054408163,0.020019641,0.016560528,0.0058557345,0.004923953,0.020066634,0.016730115,0.05949063,0.059210557,0.044856176,0.044066112,0.05934538,0.0590895,0.044547483,0.0439451,0.059449784,0.059476167,0.044843122,0.044032667,0.05934498,0.059065264,0.04474785,0.04400536,0.0594862,0.059198428,0.044865068,0.04406709,0.0058996542,0.004942615,0.02079939,0.017522447
0.014617149,0.0131542785,0.030396229,0.02550357,0.014562129,0.013662557,0.030402295,0.025500601,0.014680307,0.01314786,0.030560786,0.02579907,0.077338815,0.07631604,0.06044697,0.058883388,0.077007644,0.07632142,0.060086202,0.058687482,0.07727092,0.07638767,0.06051353,0.05883593,0.07701159,0.076342456,0.060237892,0.058900733,0.07725444,0.076454185,0.060488388,0.058920488,0.014763549,0.013171466,0.03139757,0.026882166
0.0071573034,0.005950487,0.021235818,0.018593976,0.0071193255,0.006780501,0.02123922,0.018585907,0.0071723964,0.005911103,0.021327825,0.01872197,0.07632279,0.07626962,0.05732418,0.056916144,0.076145165,0.076254815,0.057194784,0.056775913,0.07633262,0.076479614,0.057294767,0.05686231,0.0761471,0.07631739,0.057163477,0.056887224,0.07631548,0.07628439,0.057260986,0.05687268,0.007212105,0.005912522,0.021760466,0.01921387
0.0074737063,0.0066211405,0.023869958,0.020702267,0.0074653383,0.0073059937,0.02390404,0.020687645,0.0074937236,0.0065699546,0.023826513,0.020772738,0.0821526,0.08162655,0.06287919,0.062007144,0.08191766,0.081724145,0.06273332,0.061872162,0.08219806,0.08170326,0.0629686,0.06201066,0.081946544,0.08174811,0.06285906,0.06203394,0.08221099,0.08167961,0.06299026,0.062046275,0.0075984374,0.0066132736,0.024476299,0.02154799
0.0076985476,0.0068528,0.022032743,0.01929268,0.0077200173,0.0073983744,0.022101965,0.019321462,0.0076838294,0.006829227,0.022096137,0.019445341,0.08327974,0.082633175,0.06269365,0.061933327,0.08314067,0.08278928,0.06255859,0.061735608,0.08333084,0.08278831,0.06274024,0.06189724,0.08318422,0.08275616,0.062671654,0.0618283,0.083345,0.08297101,0.06271902,0.061921176,0.007717477,0.0068506063,0.022561107,0.020050295
0.009131371,0.008452033,0.023727363,0.020808535,0.009147729,0.009240326,0.023767103,0.020780496,0.00914164,0.008376017,0.02367161,0.020877466,0.08563519,0.08507055,0.06547189,0.06454382,0.08542637,0.08501154,0.06544257,0.06424436,0.08571432,0.08508501,0.065583706,0.06452994,0.08549559,0.085024945,0.06548712,0.06446598,0.08574148,0.08514104,0.06557122,0.064572304,0.009253542,0.008434691,0.024304098,0.021712648
0.003474638,0.00320697,0.015912931,0.014753221,0.0034269574,0.004150213,0.015960336,0.014735836,0.0035246927,0.0031626236,0.015939051,0.014715189,0.08242172,0.08242289,0.0605573,0.060484458,0.08229549,0.082541406,0.060461804,0.060428437,0.08242883,0.08241755,0.060580235,0.060489424,0.0822857,0.08256623,0.060504343,0.060484964,0.08243096,0.08250767,0.06054942,0.060485143,0.0035144435,0.003177321,0.016221466,0.0151134
0.014424451,0.013678187,0.025909979,0.023855286,0.014476487,0.014635256,0.026002323,0.023804583,0.014363928,0.013611833,0.025840944,0.023828486,0.08344251,0.0832985,0.064254776,0.06408933,0.083684266,0.08379327,0.06428505,0.06408579,0.08341684,0.08368967,0.06422987,0.06409851,0.08363064,0.083911575,0.06427945,0.06414098,0.08338952,0.08383814,0.064259425,0.0640993,0.014291844,0.01359435,0.026145965,0.024132432
0.003128579,0.0036346265,0.013990361,0.012513949,0.0031438107,0.004589029,0.014031729,0.012508482,0.003097247,0.0035724372,0.013986312,0.0125922905,0.07194027,0.072016604,0.05163943,0.05145252,0.07178237,0.07190637,0.05154888,0.051356506,0.07201046,0.07187751,0.05165171,0.051398568,0.071808115,0.07197516,0.051648732,0.05156711,0.07196001,0.07193671,0.05159418,0.051434066,0.0030908312,0.003578844,0.014295252,0.012907429
